PLAYER,VALUE
Vladimir Radmanovic,10.05
Rudy Fernandez,10.1
Omri Casspi,10.1
Jon Barry,10.1
George McCloud,10.1
Tyrus Thomas,10.13
Corliss Williamson,10.18
Derek Fisher,10.19
Tony Delk,10.2
Mario Chalmers,10.2
Kyle Lowry,10.2
Dominic McGuire,10.2
Darko Milicic,10.25
Eddie Griffin,10.28
Jeff Foster,10.29
Michael Sweetney,10.3
Michael Smith,10.3
Luc Mbah a Moute,10.3
Bob Sura,10.3
Jameer Nelson,10.4
JJ Hickson,10.4
Chris Gatling,10.4
Andres Nocioni,10.46
Eric Snow,10.5
C.J. Watson,10.5
Bryant Stith,10.5
Bo Outlaw,10.5
Morris Peterson,10.51
Shawn Bradley,10.53
Rasho Nesterovic,10.57
JR Smith,10.58
Chris Andersen,10.63
Kelvin Cato,10.65
Earl Boykins,10.65
Jumaine Jones,10.68
Zaza Pachulia,10.7
Channing Frye,10.73
Spencer Hawes,10.77
Jerome Williams,10.8
Glen Rice,10.8
Chucky Atkins,10.8
Chris Duhon,10.88
Chris Whitney,10.9
Clifford Robinson,10.92
Randy Foye,10.93
Roy Hibbert,10.95
Quentin Richardson,11.0
Jonny Flynn,11.0
Trevor Ariza,11.03
Hakim Warrick,11.08
Matt Barnes,11.12
Nazr Mohammed,11.18
Vin Baker,11.2
Kwame Brown,11.2
Desmond Mason,11.2
DeJuan Blair,11.2
Bryant Reeves,11.2
Anfernee Hardaway,11.25
Mark Blount,11.28
James Posey,11.28
Tim Thomas,11.3
Rick Fox,11.3
Maurice Taylor,11.3
Joel Przybilla,11.3
Smush Parker,11.35
Ruben Patterson,11.46
Ramon Sessions,11.5
John Salmons,11.55
Jason Williams,11.56
Jarrett Jack,11.56
Brian Cardinal,11.6
Al Thornton,11.6
Travis Outlaw,11.65
Mike James,11.66
Nate Robinson,11.67
Scot Pollard,11.7
Popeye Jones,11.7
Jeff McInnis,11.76
Michael Olowokandi,11.8
Bobby Simmons,11.8
Andrew Bynum,11.8
Darius Miles,11.83
Kelenna Azubuike,11.85
Brent Barry,11.86
Nenad Krstic,11.87
Mark Jackson,11.87
Brendan Haywood,11.87
Jonas Jerebko,11.9
Anthony Parker,11.9
Eddy Curry,11.94
Rodney Rogers,12.0
Marcus Thornton,12.0
Marvin Williams,12.03
Jamaal Magloire,12.07
Speedy Claxton,12.1
Josh Boone,12.1
Lorenzen Wright,12.15
Joakim Noah,12.15
Thaddeus Young,12.2
Patrick Ewing,12.2
Larry Hughes,12.2
LaPhonso Ellis,12.2
Keon Clark,12.2
Ersan Ilyasova,12.2
David Wesley,12.2
Aaron McKie,12.23
Nick Collison,12.28
Jamario Moon,12.3
Kendrick Perkins,12.32
Andray Blatche,12.37
Michael Dickerson,12.4
Dan Dickau,12.4
Ryan Gomes,12.45
Luke Ridnour,12.46
Jason Hart,12.5
Aaron Brooks,12.6
Mike Conley,12.75
Leandro Barbosa,12.78
Rod Strickland,12.8
Devin Harris,12.8
Darrell Armstrong,12.8
Bonzi Wells,12.82
Dale Davis,12.85
Shane Battier,12.86
Michael Finley,12.9
Lamond Murray,12.9
Matt Harpring,13.0
Erick Dampier,13.04
Hedo Turkoglu,13.09
Tyrone Hill,13.1
Darren Collison,13.1
Christian Laettner,13.1
Anderson Varejao,13.13
Horace Grant,13.15
Rafer Alston,13.16
Andrea Bargnani,13.2
Mike Dunleavy,13.22
Taj Gibson,13.3
Kenny Anderson,13.3
Charlie Villanueva,13.3
Alvin Williams,13.4
Kerry Kittles,13.45
Stephen Jackson,13.47
Jamaal Tinsley,13.47
Latrell Sprewell,13.5
Chris Wilcox,13.5
Derek Anderson,13.67
Joe Smith,13.68
Ronnie Brewer,13.7
Jeff Green,13.73
Michael Beasley,13.75
Kurt Thomas,13.8
Eric Gordon,13.8
Brandon Jennings,13.8
Josh Childress,13.83
Antonio McDyess,13.83
Reggie Miller,13.85
Paul Millsap,13.88
Tim Hardaway,13.9
Jamal Crawford,13.92
Wally Szczerbiak,13.93
Boris Diaw,13.95
Udonis Haslem,14.0
Primoz Brezec,14.0
Al Harrington,14.05
Ben Gordon,14.06
Wilson Chandler,14.1
Rodney Stuckey,14.1
Kenny Thomas,14.18
Jim Jackson,14.2
Juwan Howard,14.21
Alonzo Mourning,14.25
Dikembe Mutombo,14.42
Mo Williams,14.45
Raymond Felton,14.48
Theo Ratliff,14.5
Tayshaun Prince,14.52
Cuttino Mobley,14.54
Chris Kaman,14.55
Drew Gooden,14.58
Jose Calderon,14.6
Jason Thompson,14.6
Donyell Marshall,14.6
Danilo Gallinari,14.6
Ricky Davis,14.67
Antonio Davis,14.8
Grant Hill,14.83
P.J. Brown,14.9
Eddie Jones,14.92
Tyson Chandler,14.93
Samuel Dalembert,14.95
Doug Christie,14.98
Damon Stoudamire,14.98
O.J. Mayo,15.0
Brian Grant,15.02
Metta World Peace,15.1
Kirk Hinrich,15.1
Allan Houston,15.13
Raef LaFrentz,15.18
Wesley Person,15.2
T.J. Ford,15.23
Mike Miller,15.25
Kevin Love,15.3
Delonte West,15.3
Clar. Weatherspoon,15.3
Rudy Gay,15.52
Nick Van Exel,15.53
Richard Hamilton,15.66
Caron Butler,15.75
Rajon Rondo,15.8
Mehmet Okur,15.8
Charles Oakley,15.8
Jalen Rose,15.88
Marc Gasol,15.9
Tony Parker,15.93
Andrei Kirilenko,16.0
Mike Bibby,16.04
Elden Campbell,16.05
Jason Terry,16.11
Luis Scola,16.13
Vlade Divac,16.15
Richard Jefferson,16.17
Keith Van Horn,16.17
Kevin Martin,16.33
Russell Westbrook,16.35
Kenyon Martin,16.4
